latitude,longitude,name,source,precision,,
41.8877799,-87.7654537,"5610 West Lake Street, Chicago, Illinois 60644",Bing Maps,address,,
42.1038935,-87.8755939,"2755 Sanders Road, Northbrook, Illinois 60062",Bing Maps,address,,
41.905917,-87.7287718,"1345 N. Karlov, Chicago, Illinois 60651",Bing Maps,address,,
40.4904251,-88.9424515,"1201 North Hershey Road, Bloomington, Illinois 61704",Bing Maps,address,,
42.0183601,-87.6716614,"7510 N. Ashland Avenue, Chicago, Illinois 60626",Bing Maps,address,,
41.933448,-87.640884,"2817 North Pine Grove Avenue, Chicago, Illinois 60657",Bing Maps,address,,
41.9708557,-87.6580734,"4848 North Winthrop, Chicago, Illinois 60640",Bing Maps,address,,
40.4757805,-88.9760056,"403 South State, Bloomington, Illinois 61701",Bing Maps,address,,
41.8829994,-87.8043289,"1139 Randolph Street, Oak Park, Illinois 60302",Bing Maps,address,,
42.0493622,-87.7539291,"5050 Church Street, Skokie, Illinois 60077",Bing Maps,address,,
41.8575038,-87.668695,"1814 South Paulina, Chicago, Illinois 60608",Bing Maps,address,,
41.8945503,-87.7178574,"744 North Monticello Ave., Chicago, Illinois 60624",Bing Maps,address,,
41.4925308,-90.4689636,"2100 48th Street, Moline, Illinois 61265",Bing Maps,address,,
42.3908386,-87.8864059,"2115 S. Ernie Krueger Circle, Waukegan, Illinois 60087",Bing Maps,address,,
41.7764971,-87.7031466,"6422 South Kedzie, Chicago, Illinois 60629",Bing Maps,address,,
38.7809792,-89.9488831,"500 Goshen Road, Edwardsville, Illinois 62025",Bing Maps,address,,
42.3607216,-87.8309402,"33 N. Genesee, Waukegan, Illinois 60085",Bing Maps,address,,
42.0966563,-87.8563658,"3050 Woodridge Road, Northbrook, Illinois 60062",Bing Maps,address,,
40.6630102,-89.6400522,"2219 S. Idaho, Peoria, Illinois 61605",Bing Maps,address,,
41.9457331,-87.6418374,"3480 North Lake Shore Drive, Chicago, Illinois 60657",Bing Maps,address,,
41.9238194,-87.6371174,"312 West Belden Avenue, Chicago, Illinois 60614",Bing Maps,address,,
41.5210012,-88.0997548,"110 Willow Avenue, Joliet, Illinois 60436",Bing Maps,address,,
42.1045198,-87.7300599,"684 Oak Street, Winnetka, Illinois 60093",Bing Maps,address,,
42.14664,-88.140396,"647 Dundee Avenue, Barrington, Illinois 60010",Bing Maps,address,,
42.0636255,-87.7261942,"3333 Culver Street, Evanston, Illinois 60201",Bing Maps,address,,
41.8210258,-87.7930756,"6807 Pershing Road, Stickney, Illinois 60402",Bing Maps,address,,
42.0534157,-88.0375269,"1410 North Roosevelt Blvd., Schaumburg, Illinois 60173",Bing Maps,address,,
41.9678001,-87.6552277,"4714 North Sheridan Road, Chicago, Illinois 60640",Bing Maps,address,,
41.8781025,-87.6986955,"212 South Francisco, Chicago, Illinois 60612",Bing Maps,address,,
41.8605374,-87.8406273,"5000 S. 5th Avenue, Hines, Illinois 60141",Bing Maps,address,,
41.88644,-87.624107,"225 North Michigan Avenue, Chicago, Illinois 60601",Bing Maps,address,,
38.1293106,-88.9155579,"468 North Ken Gray Parkway, Ina, Illinois 62846",Bing Maps,address,,
42.021175,-88.111053,"1223 West Sharon Lane, Schaumburg, Illinois 60193",Bing Maps,address,,
42.016963,-88.075202,"220 East Weathersfield Way, Schaumburg, Illinois 60193",Bing Maps,address,,
41.7860565,-87.6988297,"3001 West 59th Street, Chicago, Illinois 60629",Bing Maps,address,,
